Model,MAE,MSE,R2,Bias,Variance
LogisticRegression,0.0,0.0,1.0,0.9872495446265938,1.0
SVC,0.05,0.05,0.7333333333333334,0.9854280510018215,0.95
RandomForestClassifier,0.05,0.05,0.7333333333333334,1.0,0.95
xgboost,0.11916284263134003,0.07113443315029144,0.6206163167953491,0.9999979138374329,0.6206163167953491
KNeighboursClassifier,0.0,0.0,1.0,0.9781420765027322,1.0
GaussianNB,0.2,0.2,-0.06666666666666665,0.9435336976320583,0.8
BernoulliNB,0.2,0.2,-0.06666666666666665,0.941712204007286,0.8
lgboost,0.05,0.05,0.7333333333333334,1.0,0.95
